UPDATE Locales_gameobject Set name_loc3 = | Eliza's Grabstein| WHERE entry = 37; --Name: Eliza|s Grabstein
UPDATE Locales_gameobject Set name_loc3 = | Holzstuhl WHERE entry = 2413; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Brauchen Namen| WHERE entry = 2414; --Name: brauchen Namen
UPDATE Locales_gameobject Set name_loc3 = | Anvil| WHERE entry = 2572; --Name: Anvil
UPDATE Locales_gameobject Set name_loc3 = | Schmieden| WHERE entry = 2573; --Name: Schmieden
UPDATE Locales_gameobject Set name_loc3 = | Anvil| WHERE entry = 2649; --Name: Anvil
UPDATE Locales_gameobject Set name_loc3 = | Schmieden| WHERE entry = 2650; --Name: Schmieden
UPDATE Locales_gameobject Set name_loc3 = | Bonfire| WHERE entry = 2658; --Name: Bonfire
UPDATE Locales_gameobject Set name_loc3 = | Säule des Diamond| WHERE entry = 2842; --Name: Säule der Diamond
UPDATE Locales_gameobject Set name_loc3 = | Säule des Opal| WHERE entry = 2848; --Name: Säule der Opal
UPDATE Locales_gameobject Set name_loc3 = | Säule des Amethyst| WHERE entry = 2858; --Name: Säule aus Amethyst
UPDATE Locales_gameobject Set name_loc3 = | Siegel der Earth| WHERE entry = 2933; --Name: Siegel der Erde
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 3085; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 3089; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Rasierer-Hill| WHERE entry = 3224; --Name: Klingenhügel
UPDATE Locales_gameobject Set name_loc3 = | Benedikts Chest| WHERE entry = 3239; --Name: Benedict|s Brust
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 3253; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 3254; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 3270; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 3306; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 3638; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 3639; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 3760; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 3761; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Drizzlik die Emporium| WHERE entry = 3767; --Name: Drizzlik|s Emporium
UPDATE Locales_gameobject Set name_loc3 = | Fragile - tun nicht Drop| WHERE entry = 3768; --Name: Fragile - lassen Sie nicht fallen
UPDATE Locales_gameobject Set name_loc3 = | Feuer-Plume-Ridge-Lava-Lake| WHERE entry = 4004; --Name: Fire Plume Ridge Lavasee
UPDATE Locales_gameobject Set name_loc3 = | Bank| WHERE entry = 4005; --Name: Bank
UPDATE Locales_gameobject Set name_loc3 = | Die Crossroads| WHERE entry = 4102; --Name: Scheideweg
UPDATE Locales_gameobject Set name_loc3 = | Stonetalon Mountains| WHERE entry = 4103; --Name: Steinkrallengebirge
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 6293; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 6294; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 6295; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Rot Raptor Nest| WHERE entry = 6906; --Name: roter Raptor-Nest
UPDATE Locales_gameobject Set name_loc3 = | Blauer Raptor Nest| WHERE entry = 6907; --Name: blau Raptor-Nest
UPDATE Locales_gameobject Set name_loc3 = | Gelber Raptor Nest| WHERE entry = 6908; --Name: gelber Raptor-Nest
UPDATE Locales_gameobject Set name_loc3 = | Kochen Fire| WHERE entry = 9847; --Name: Feuer Kochen
UPDATE Locales_gameobject Set name_loc3 = | Kochen Fire| WHERE entry = 10388; --Name: Feuer Kochen
UPDATE Locales_gameobject Set name_loc3 = | Dämmerung-Tome| WHERE entry = 12144; --Name: Twilight Tome
UPDATE Locales_gameobject Set name_loc3 = | Katze Figur Trap| WHERE entry = 12653; --Name: Katze Figur-Falle
UPDATE Locales_gameobject Set name_loc3 = | Dämmerung-Tome| WHERE entry = 12666; --Name: Twilight Tome
UPDATE Locales_gameobject Set name_loc3 = | Friedhof Banner| WHERE entry = 13756; --Name: Friedhof-Banner
UPDATE Locales_gameobject Set name_loc3 = | Ziel| WHERE entry = 13952; --Name: Ziel
UPDATE Locales_gameobject Set name_loc3 = | Mine Banner| WHERE entry = 15001; --Name: meine Banner
UPDATE Locales_gameobject Set name_loc3 = | Sägewerk Banner| WHERE entry = 15002; --Name: Lumber Mill-Banner
UPDATE Locales_gameobject Set name_loc3 = | Bauernhof Banner| WHERE entry = 15003; --Name: Banner auf dem Bauernhof
UPDATE Locales_gameobject Set name_loc3 = | Schmied Banner| WHERE entry = 15004; --Name: Schmied-Banner
UPDATE Locales_gameobject Set name_loc3 = | Stabile Banner| WHERE entry = 15005; --Name: stabile Banner
UPDATE Locales_gameobject Set name_loc3 = | Nekrotische Crystal| geknackt WHERE entry = 16431; --Name: geknackt nekrotischen Kristall
UPDATE Locales_gameobject Set name_loc3 = | BUZZBOX 323| WHERE entry = 17184; --Name: Buzzbox 323
UPDATE Locales_gameobject Set name_loc3 = | Die Lage des Ameth'Aran| WHERE entry = 17188; --Name: Lay of Ameth| Aran
UPDATE Locales_gameobject Set name_loc3 = | Der Fall der Ameth'Aran| WHERE entry = 17189; --Name: der Fall der Ameth| Aran
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 18046; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Sprudelnden Cauldron| WHERE entry = 18084; --Name: sprudelnde Kessel
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 18085; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 18087; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Cliffspring Falls Höhle Mouth| WHERE entry = 19463; --Name: Cliffspring Falls Cave Mund
UPDATE Locales_gameobject Set name_loc3 = | Dreadmist Peak Pool| WHERE entry = 19464; --Name: Dreadmist-Peak-Pool
UPDATE Locales_gameobject Set name_loc3 = | "CRACKLING" Lagerfeuer| WHERE entry = 19536; --Name: knisternde Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Die verkohlten Vale| WHERE entry = 19577; --Name: die verkohlten Vale
UPDATE Locales_gameobject Set name_loc3 = | Goblin-Shredder-Suit| WHERE entry = 19582; --Name: Goblin-Shredder-Anzug
UPDATE Locales_gameobject Set name_loc3 = | Pfeilschnelle Post| WHERE entry = 19848; --Name: Pfeilschnelle Post
UPDATE Locales_gameobject Set name_loc3 = | Schimmernde Flats| WHERE entry = 19849; --Name: schimmernden Wohnungen
UPDATE Locales_gameobject Set name_loc3 = | Tanaris| WHERE entry = 19850; --Name: Tanaris
UPDATE Locales_gameobject Set name_loc3 = | Die große Lift| WHERE entry = 19851; --Name: der große Aufzug
UPDATE Locales_gameobject Set name_loc3 = | Die Barrens| WHERE entry = 19852; --Name: Brachland
UPDATE Locales_gameobject Set name_loc3 = | Pfeilschnelle Post| WHERE entry = 19853; --Name: Pfeilschnelle Post
UPDATE Locales_gameobject Set name_loc3 = | Die Barrens| WHERE entry = 19854; --Name: Brachland
UPDATE Locales_gameobject Set name_loc3 = | Tanaris| WHERE entry = 19855; --Name: Tanaris
UPDATE Locales_gameobject Set name_loc3 = | Die Barrens| WHERE entry = 19856; --Name: Brachland
UPDATE Locales_gameobject Set name_loc3 = | Schimmernde Flats| WHERE entry = 19857; --Name: schimmernden Wohnungen
UPDATE Locales_gameobject Set name_loc3 = | Thalanaar| WHERE entry = 19858; --Name: Thalanaar
UPDATE Locales_gameobject Set name_loc3 = | Feralas| WHERE entry = 19859; --Name: Feralas
UPDATE Locales_gameobject Set name_loc3 = | Kreis von Imprisonment| WHERE entry = 19901; --Name: Kreis Freiheitsstrafe
UPDATE Locales_gameobject Set name_loc3 = | Forge| WHERE entry = 19902; --Name: Schmieden
UPDATE Locales_gameobject Set name_loc3 = | Kreis von Imprisonment| WHERE entry = 20352; --Name: Kreis Freiheitsstrafe
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 20356; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Mine| WHERE entry = 20811; --Name: Meins
UPDATE Locales_gameobject Set name_loc3 = | Orc-Tower| WHERE entry = 20812; --Name: Orc Tower
UPDATE Locales_gameobject Set name_loc3 = | Bewachen Tower| WHERE entry = 20816; --Name: Wachturm
UPDATE Locales_gameobject Set name_loc3 = | Halten Pen| WHERE entry = 20817; --Name: Stift halten
UPDATE Locales_gameobject Set name_loc3 = | Nacht Elf Mond Well| WHERE entry = 20818; --Name: Nachtelf Mond gut
UPDATE Locales_gameobject Set name_loc3 = | Mond gut 2| WHERE entry = 20819; --Name: Mond gut 2
UPDATE Locales_gameobject Set name_loc3 = | Riesen-Meer-Turtle| WHERE entry = 20820; --Name: Riesen-Meeresschildkröte
UPDATE Locales_gameobject Set name_loc3 = | Riesen Turtle| WHERE entry = 20821; --Name: Riesenschildkröte
UPDATE Locales_gameobject Set name_loc3 = | Landung-Pad| WHERE entry = 20822; --Name: Landing Pad
UPDATE Locales_gameobject Set name_loc3 = | Player Housing| WHERE entry = 20823; --Name: Spieler-Gehäuse
UPDATE Locales_gameobject Set name_loc3 = | Orc-Tower| WHERE entry = 20824; --Name: Orc Tower
UPDATE Locales_gameobject Set name_loc3 = | Stormwind City| WHERE entry = 20827; --Name: Sturmwind-Stadt
UPDATE Locales_gameobject Set name_loc3 = | "CRACKLING" Lagerfeuer| WHERE entry = 20850; --Name: knisternde Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Schwelenden Brazier| WHERE entry = 20873; --Name: qualmender Brazier
UPDATE Locales_gameobject Set name_loc3 = | Schwelenden Brazier| WHERE entry = 20874; --Name: qualmender Brazier
UPDATE Locales_gameobject Set name_loc3 = | Schwelenden Brazier| WHERE entry = 20875; --Name: qualmender Brazier
UPDATE Locales_gameobject Set name_loc3 = | Schwelenden Brazier| WHERE entry = 20876; --Name: qualmender Brazier
UPDATE Locales_gameobject Set name_loc3 = | Cauldron| WHERE entry = 20878; --Name: Cauldron
UPDATE Locales_gameobject Set name_loc3 = | "CRACKLING" Lagerfeuer| WHERE entry = 20879; --Name: knisternde Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Flackernde Lagerfeuer| WHERE entry = 20881; --Name: flackernde Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 20924; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Flackernde Lagerfeuer| WHERE entry = 20926; --Name: flackernde Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 20972; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 20983; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Hoofprints| WHERE entry = 21015; --Name: Hufabdruck
UPDATE Locales_gameobject Set name_loc3 = | Hoofprints| WHERE entry = 21016; --Name: Hufabdruck
UPDATE Locales_gameobject Set name_loc3 = | Lagerfeuer| WHERE entry = 21282; --Name: Lagerfeuer
UPDATE Locales_gameobject Set name_loc3 = | Lashh'an Zauber Circle| WHERE entry = 21511; --Name: Lashh|an Zauber Kreis
UPDATE Locales_gameobject Set name_loc3 = | Anvil| WHERE entry = 21628; --Name: Anvil
UPDATE Locales_gameobject Set name_loc3 = | Anvil| WHERE entry = 21629; --Name: Anvil
UPDATE Locales_gameobject Set name_loc3 = | Forge| WHERE entry = 21630; --Name: Schmieden
UPDATE Locales_gameobject Set name_loc3 = | Forge| WHERE entry = 21631; --Name: Schmieden
UPDATE Locales_gameobject Set name_loc3 = |unk| WHERE entry = 21653; --Name: Unk
UPDATE Locales_gameobject Set name_loc3 = |unk| WHERE entry = 21654; --Name: Unk
UPDATE Locales_gameobject Set name_loc3 = |unk| WHERE entry = 21655; --Name: Unk
UPDATE Locales_gameobject Set name_loc3 = |unk| WHERE entry = 21656; --Name: Unk
UPDATE Locales_gameobject Set name_loc3 = | Zwergen-Fire| WHERE entry = 22205; --Name: Dwarven Feuer
UPDATE Locales_gameobject Set name_loc3 = | Zwergen-Fire| WHERE entry = 22207; --Name: Dwarven Feuer
UPDATE Locales_gameobject Set name_loc3 = | Zwergen-Fire| WHERE entry = 22208; --Name: Dwarven Feuer
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 22249; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Schreibtisch Chair| WHERE entry = 22256; --Name: Schreibtischstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 22542; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 22618; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 22663; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 22796; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 22797; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 22798; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 22799; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hohe hintere Chair| WHERE entry = 22800; --Name: hoher Stuhl zurück
UPDATE Locales_gameobject Set name_loc3 = | Hohe hintere Chair| WHERE entry = 22801; --Name: hoher Stuhl zurück
UPDATE Locales_gameobject Set name_loc3 = | Hohe hintere Chair| WHERE entry = 22802; --Name: hoher Stuhl zurück
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 22808; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 22809; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 22810; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 22816; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 22817; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Gizmorium Versand Crate| WHERE entry = 23505; --Name: Gizmorium Versand Kiste
UPDATE Locales_gameobject Set name_loc3 = | Bonfire| WHERE entry = 23880; --Name: Bonfire
UPDATE Locales_gameobject Set name_loc3 = | Bonfire| WHERE entry = 23881; --Name: Bonfire
UPDATE Locales_gameobject Set name_loc3 = | Stein Bench| WHERE entry = 24397; --Name: Stein Sitzbank
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 24493; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 24500; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 24501; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 24502; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 24503; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 24504; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 24505; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 24510; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 24511; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Industrielle District| WHERE entry = 25334; --Name: Industrial District
UPDATE Locales_gameobject Set name_loc3 = | Die Park| WHERE entry = 25342; --Name: der Park
UPDATE Locales_gameobject Set name_loc3 = | Die Park| WHERE entry = 25352; --Name: der Park
UPDATE Locales_gameobject Set name_loc3 = | Dom Square| WHERE entry = 25355; --Name: Domplatz
UPDATE Locales_gameobject Set name_loc3 = | Dom Square| WHERE entry = 25356; --Name: Domplatz
UPDATE Locales_gameobject Set name_loc3 = | Dom Square| WHERE entry = 25357; --Name: Domplatz
UPDATE Locales_gameobject Set name_loc3 = | Craghelm der Platte und Chain| WHERE entry = 26480; --Name: Craghelm|s Platte und Kette
UPDATE Locales_gameobject Set name_loc3 = | Goldfury der Jagd Supplies| WHERE entry = 26482; --Name: Goldfury|s-Jagd-Zubehör
UPDATE Locales_gameobject Set name_loc3 = | Fizzlespinner des allgemeinen Goods| WHERE entry = 26483; --Name: Fizzlespinner|s General Goods
UPDATE Locales_gameobject Set name_loc3 = | Thundershot Guns 'n Ammo| WHERE entry = 26485; --Name: Thundershot Waffen |n Munition
UPDATE Locales_gameobject Set name_loc3 = | Die Stonefire-Tavern| WHERE entry = 26486; --Name: Stonefire Taverne
UPDATE Locales_gameobject Set name_loc3 = | Barim des Reagents| WHERE entry = 26487; --Name: Barim|s Reagenzien
UPDATE Locales_gameobject Set name_loc3 = | Waldgrenze Arms| WHERE entry = 26488; --Name: Timberline Waffen
UPDATE Locales_gameobject Set name_loc3 = | Bruuk des Corner| WHERE entry = 26489; --Name: Bruuk|s-Ecke
UPDATE Locales_gameobject Set name_loc3 = | Ironforge Besuchers Center| WHERE entry = 26490; --Name: Ironforge Visitor|s Center
UPDATE Locales_gameobject Set name_loc3 = | Pithwick Taschen und Supplies| WHERE entry = 26491; --Name: Pithwick|s Taschen und liefert
UPDATE Locales_gameobject Set name_loc3 = | Farmountain Maps| WHERE entry = 26492; --Name: Farmountain Karten
UPDATE Locales_gameobject Set name_loc3 = | Stonebranch Herbalist| WHERE entry = 26493; --Name: Stonebranch Kräuterkundler
UPDATE Locales_gameobject Set name_loc3 = | Deep Mountain Bergbau Guild| WHERE entry = 26497; --Name: Deep Mountain Mining Gilde
UPDATE Locales_gameobject Set name_loc3 = | Bronze Kettle| WHERE entry = 26498; --Name: Bronze Kessel
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 28048; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 28049; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 28050; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 28051; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 28052; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 28053; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 28054; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 28055; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 28056; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 28605; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 28606; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 28607; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 28608; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 28609; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 28610; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Dwarven High zurück Chair| WHERE entry = 28611; --Name: Dwarven Hochstuhl zurück
UPDATE Locales_gameobject Set name_loc3 = | Dwarven High zurück Chair| WHERE entry = 28612; --Name: Dwarven Hochstuhl zurück
UPDATE Locales_gameobject Set name_loc3 = | Hölzerne Chair| WHERE entry = 28613; --Name: Holzstuhl
UPDATE Locales_gameobject Set name_loc3 = | Mittlere Brazier| WHERE entry = 31576; --Name: mittlere Brazier
UPDATE Locales_gameobject Set name_loc3 = | IronForge-Elevator| WHERE entry = 32056; --Name: Eisenschmiede-Aufzug
